INFO,,
인덱스,정보스트링,
1,고양이 사료를 눈 앞에서 흔드니 무언가 다른 것을 원하는 것 같다.,
2,낚싯대 손잡이를 깨무는 걸 보니 길쭉한 것을 먹고 싶어 하는 것 같다.,낚싯대로 찔러보니 길쭉한 것을 먹고 싶어 하는 것 같다.
3,낚싯대를 코 앞에서 흔드니 밝고 명랑한 모습이 보기 좋다.,
4,팸플릿을 살펴보니 버릇없는 고양이에 대한 훈육법이 나와있다.,팸플릿을 살펴보니 요즘 고양이들이 버릇이 없다고 한다.
5,이 고양이는 버릇이 없다.,소세지를 눈 앞에서 흔드니 버릇없이 달려든다.
6,고양이를 중성화수술 시켰다.,병원에 가서 팸플릿을 보고 중성화 수술에 대한 정보를 얻었다.
7,가위가 시공의 폭풍으로 빨려들어갔다.,
8,고추장이 시공의 폭풍으로 빨려들어갔다.,
9,고양이 빗이 시공의 폭풍으로 빨려들어갔다.,
10,고양이를 가위로 혼을 내서 동물학대범으로 불구속 입건되었다.,
11,빗으로 빗어주니 너무 귀엽고 사랑스럽다. 너도 그렇다.,
12,털을 깎아 주니 갸르릉거린다.,
13,고양이가 고추장 고양이가 되었넹?,
14,,
15,,
